station,valid,lon,lat,elevation,tmpf,tmpc,dwpf,dwpc,relh,feel,drct,sknt,sped,alti,mslp,p01m,p01i,vsby,gust,gust_mph,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_gust_mph,peak_wind_drct,peak_wind_time,snowdepth,metar
LNK,2023-10-04 00:54,-96.7633,40.8312,352.00,79.00,26.11,58.00,14.44,48.59,79.00,170.00,19.00,21.85,29.73,1005.50,0.00,0.00,10.00,27.00,31.05,FEW,SCT,M,7500.00,11000.00,M,VCTS,M,M,M,27.00,31.05,170.00,2023-10-04 00:52,M,KLNK 040054Z 17019G27KT 10SM VCTS FEW075 SCT110 26/14 A2973 RMK AO2 PK WND 17027/0052 LTG DSNT ALQDS SLP055 T02610144
LNK,2023-10-04 01:10,-96.7633,40.8312,352.00,68.00,20.00,60.00,15.56,75.57,68.00,290.00,14.00,16.10,29.81,M,T,T,7.00,33.00,37.95,FEW,BKN,BKN,2600.00,6000.00,7000.00,-TSRA,M,M,M,33.00,37.95,280.00,2023-10-04 01:03,M,KLNK 040110Z 29014G33KT 7SM -TSRA FEW026 BKN060 BKN070 20/16 A2981 RMK AO2 PK WND 28033/0103 WSHFT 0056 LTG DSNT SW-N RAB0059 TSB05 P0000 T02000156
LNK,2023-10-04 01:29,-96.7633,40.8312,352.00,65.00,18.33,61.00,16.11,86.88,65.00,280.00,18.00,20.70,29.83,M,1.52,0.06,1.75,26.00,29.90,FEW,SCT,OVC,1700.00,2800.00,4400.00,+TSRA BR,M,M,M,33.00,37.95,280.00,2023-10-04 01:03,M,KLNK 040129Z 28018G26KT 1 3/4SM R36/6000VP6000FT +TSRA BR FEW017 SCT028 OVC044 18/16 A2983 RMK AO2 PK WND 28033/0103 WSHFT 0056 VIS 3/4V5 LTG DSNT ALQDS RAB0059 TSB05E24B26 P0006 T01830161
LNK,2023-10-04 01:36,-96.7633,40.8312,352.00,64.00,17.78,61.00,16.11,89.97,64.00,260.00,16.00,18.40,29.84,M,6.86,0.27,1.00,36.00,41.40,FEW,BKN,OVC,800.00,1700.00,4700.00,+TSRA BR,M,M,M,36.00,41.40,260.00,2023-10-04 01:30,M,KLNK 040136Z 26016G36KT 1SM R36/4500VP6000FT +TSRA BR FEW008 BKN017 OVC047 18/16 A2984 RMK AO2 PK WND 26036/0130 WSHFT 0056 LTG DSNT ALQDS RAB0059 TSB05E24B26 P0027 T01780161
LNK,2023-10-04 01:39,-96.7633,40.8312,352.00,64.00,17.78,62.00,16.67,93.21,64.00,240.00,13.00,14.95,29.86,M,8.89,0.35,0.75,36.00,41.40,FEW,BKN,OVC,800.00,1900.00,4500.00,+TSRA BR,M,M,M,36.00,41.40,260.00,2023-10-04 01:30,M,KLNK 040139Z 24013G36KT 3/4SM R36/4000VP6000FT +TSRA BR FEW008 BKN019 OVC045 18/17 A2986 RMK AO2 PK WND 26036/0130 WSHFT 0056 LTG DSNT ALQDS RAB0059 TSB05E24B26 P0035 T01780167
LNK,2023-10-04 01:46,-96.7633,40.8312,352.00,64.00,17.78,62.00,16.67,93.21,64.00,210.00,11.00,12.65,29.86,M,13.21,0.52,1.25,22.00,25.30,BKN,OVC,M,3200.00,4500.00,M,+TSRA BR,M,M,M,36.00,41.40,260.00,2023-10-04 01:30,M,KLNK 040146Z 21011G22KT 1 1/4SM R36/4000VP6000FT +TSRA BR BKN032 OVC045 18/17 A2986 RMK AO2 PK WND 26036/0130 WSHFT 0056 LTG DSNT ALQDS RAB0059 TSB05E24B26 P0052 T01780167
LNK,2023-10-04 01:54,-96.7633,40.8312,352.00,64.00,17.78,62.00,16.67,93.21,64.00,180.00,11.00,12.65,29.86,1010.10,15.49,0.61,3.00,M,M,BKN,OVC,M,3800.00,7000.00,M,+TSRA BR,M,M,M,36.00,41.40,260.00,2023-10-04 01:30,M,KLNK 040154Z 18011KT 3SM +TSRA BR BKN038 OVC070 18/17 A2986 RMK AO2 PK WND 26036/0130 WSHFT 0056 LTG DSNT ALQDS RAB0059 TSB05E24B26 SLP101 P0061 T01780167
LNK,2023-10-04 02:05,-96.7633,40.8312,352.00,64.00,17.78,62.00,16.67,93.21,64.00,150.00,9.00,10.35,29.82,M,1.02,0.04,4.00,M,M,SCT,BKN,OVC,4300.00,7000.00,10000.00,TSRA BR,M,M,M,M,M,M,M,M,KLNK 040205Z 15009KT 4SM TSRA BR SCT043 BKN070 OVC100 18/17 A2982 RMK AO2 WSHFT 0145 LTG DSNT ALQDS PRESFR P0004 T01780167
LNK,2023-10-04 02:21,-96.7633,40.8312,352.00,64.00,17.78,62.00,16.67,93.21,64.00,160.00,15.00,17.25,29.83,M,2.03,0.08,5.00,M,M,BKN,OVC,M,7500.00,10000.00,M,VCTS RA BR,M,M,M,M,M,M,M,M,KLNK 040221Z 16015KT 5SM VCTS RA BR BKN075 OVC100 18/17 A2983 RMK AO2 WSHFT 0145 LTG DSNT ALQDS TSE15 P0008 T01780167
LNK,2023-10-04 02:43,-96.7633,40.8312,352.00,63.00,17.22,61.00,16.11,93.18,63.00,140.00,8.00,9.20,29.79,M,2.54,0.10,10.00,M,M,OVC,M,M,10000.00,M,M,-TSRA,M,M,M,M,M,M,M,M,KLNK 040243Z 14008KT 10SM -TSRA OVC100 17/16 A2979 RMK AO2 WSHFT 0145 LTG DSNT NE-S TSE15B37 PRESFR P0010 T01720161
LNK,2023-10-04 02:54,-96.7633,40.8312,352.00,63.00,17.22,61.00,16.11,93.18,63.00,180.00,9.00,10.35,29.82,1008.90,2.54,0.10,10.00,M,M,BKN,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040254Z 18009KT 10SM BKN110 17/16 A2982 RMK AO2 WSHFT 0145 LTG DSNT NE AND E RAE54 TSE15B37E52 SLP089 P0010 60071 T01720161 50031
LNK,2023-10-04 03:54,-96.7633,40.8312,352.00,62.00,16.67,59.00,15.00,89.89,62.00,230.00,5.00,5.75,29.84,1009.50,0.00,0.00,10.00,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLNK 040354Z AUTO 23005KT 10SM CLR 17/15 A2984 RMK AO2 LTG DSNT SE SLP095 T01670150
LNK,2023-10-04 04:44,-96.7633,40.8312,352.00,61.00,16.11,59.00,15.00,93.12,61.00,200.00,8.00,9.20,29.85,M,0.00,0.00,10.00,M,M,FEW,M,M,700.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040444Z AUTO 20008KT 10SM FEW007 16/15 A2985 RMK AO2 T01610150
LNK,2023-10-04 04:54,-96.7633,40.8312,352.00,61.00,16.11,59.00,15.00,93.12,61.00,200.00,7.00,8.05,29.86,1010.30,0.00,0.00,10.00,M,M,FEW,M,M,700.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040454Z AUTO 20007KT 10SM FEW007 16/15 A2986 RMK AO2 SLP103 T01610150
LNK,2023-10-04 05:26,-96.7633,40.8312,352.00,62.00,16.67,60.00,15.56,93.15,62.00,220.00,8.00,9.20,29.86,M,0.00,0.00,10.00,M,M,BKN,M,M,700.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040526Z AUTO 22008KT 10SM BKN007 17/16 A2986 RMK AO2 T01670156
LNK,2023-10-04 05:54,-96.7633,40.8312,352.00,62.00,16.67,60.00,15.56,93.15,62.00,220.00,6.00,6.90,29.86,1010.20,0.00,0.00,10.00,M,M,BKN,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040554Z AUTO 22006KT 10SM BKN006 17/16 A2986 RMK AO2 SLP102 60071 T01670156 10261 20161 402720161 50013
LNK,2023-10-04 06:54,-96.7633,40.8312,352.00,61.00,16.11,59.00,15.00,93.12,61.00,180.00,5.00,5.75,29.88,1011.10,0.00,0.00,10.00,M,M,OVC,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040654Z AUTO 18005KT 10SM OVC006 16/15 A2988 RMK AO2 SLP111 T01610150
LNK,2023-10-04 07:54,-96.7633,40.8312,352.00,59.00,15.00,58.00,14.44,96.48,59.00,170.00,5.00,5.75,29.91,1012.20,0.00,0.00,7.00,M,M,BKN,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040754Z AUTO 17005KT 7SM BKN006 15/14 A2991 RMK AO2 SLP122 T01500144
LNK,2023-10-04 08:15,-96.7633,40.8312,352.00,61.00,16.11,58.00,14.44,89.84,61.00,230.00,5.00,5.75,29.90,M,0.00,0.00,10.00,M,M,SCT,M,M,600.00,M,M,M,M,M,M,M,M,M,M,M,KLNK 040815Z AUTO 23005KT 10SM SCT006 16/14 A2990 RMK AO2 T01610144
LNK,2023-10-04 08:54,-96.7633,40.8312,352.00,60.00,15.56,57.00,13.89,89.80,60.00,240.00,3.00,3.45,29.90,1011.60,0.00,0.00,10.00,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLNK 040854Z AUTO 24003KT 10SM CLR 16/14 A2990 RMK AO2 SLP116 T01560139 50014
LNK,2023-10-04 09:54,-96.7633,40.8312,352.00,59.00,15.00,56.00,13.33,89.76,59.00,270.00,5.00,5.75,29.92,1012.20,0.00,0.00,10.00,M,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KLNK 040954Z AUTO 27005KT 10SM CLR 15/13 A2992 RMK AO2 SLP122 T01500133
